OBJECTID,Shape,id_paradero,id_parada,id_ruta,nro_parada,direccion,tipo_parada,recorrido,codigo_ruta,nombre_ruta,sistema_ruta,tipo_ruta,empresa,longitud,latitud,x_origen_nacional,y_origen_nacional
83,"(4715137.7499, 2246272.2541000005)",52751,90003033,90003,33.0,"CR 43F 17-432, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.57523363,6.22253086,4715137.7499,2246272.2541
84,"(4712893.5559, 2249338.369500002)",51728,90003051,90003,51.0,"CL 44 75-94, Medellin",Reglamentaria,Destino-Origen,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.5956441,6.25015083,4712893.5559,2249338.3695
85,"(4712179.627800001, 2246818.8982999995)",51384,90003011,90003,11.0,"CR 81 25-35, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.60198159,6.22734173,4712179.6278,2246818.8983
86,"(4715474.682800001, 2248018.8396000005)",52971,90003038,90003,38.0,"CR 50 x CL 37, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.57226668,6.23833603,4715474.6828,2248018.8396
87,"(4713692.4116, 2249244.1582000013)",52033,90003049,90003,49.0,"CL 44 x  69  , Medellin",Reglamentaria,Destino-Origen,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.5884227,6.2493347,4713692.4116,2249244.1582
88,"(4714883.789700001, 2243774.6635000035)",52615,90003027,90003,27.0,"CR 48 x CL 5, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.57741803,6.1999398,4714883.7897,2243774.6635
89,"(4712917.626600001, 2245015.749399999)",51742,90003019,90003,19.0,"DG 75B con 1, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.59523452,6.21107316,4712917.6266,2245015.7494
90,"(4712147.4448, 2247347.9894000012)",51358,90003009,90003,9.0,"CR 81 x CL 30A, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.6022959,6.23212353,4712147.4448,2247347.9894
91,"(4715103.910800001, 2245887.3165000007)",52729,90003032,90003,32.0,"CR 48 x CL 17, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.57552239,6.21904927,4715103.9108,2245887.3165
92,"(4714019.629400001, 2243569.2119999994)",52177,90003024,90003,24.0,"CR 50FF x CL 10, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.58521551,6.19804436,4714019.6294,2243569.212
93,"(4716368.7154, 2249270.3636000045)",53524,90003041,90003,41.0,"CR 46 52-50, Medellin",Reglamentaria,Destino-Origen,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.56424471,6.24969013,4716368.7154,2249270.3636
94,"(4712443.470900002, 2246424.4079000037)",51523,90003013,90003,13.0,"DG 79 15-187, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.59958049,6.22378709,4712443.4709,2246424.4079
95,"(4712513.2097000005, 2245809.2958000023)",51559,90003016,90003,16.0,"CR 76 x  80  , Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.59892314,6.21822928,4712513.2097,2245809.2958
96,"(4712522.659900001, 2249482.1088000014)",51555,90003001,90003,1.0,"CL 45 x CR 79A, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.59900134,6.25143374,4712522.6599,2249482.1088
97,"(4712133.588100001, 2249210.946100004)",51339,90003002,90003,2.0,"CR 81 42-, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.60250424,6.24896491,4712133.5881,2249210.9461
98,"(4713660.2102000015, 2244327.4348000027)",52030,90003021,90003,21.0,"CL 6 Sur x CR 52, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.5884958,6.20488328,4713660.2102,2244327.4348
99,"(4714241.682100001, 2243301.0748000015)",52292,90003025,90003,25.0,"CL 12 Sur x CR 50, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.58319778,6.19563001,4714241.6821,2243301.0748
100,"(4715232.515700001, 2247116.3989000022)",52823,90003036,90003,36.0,"CR 48 x CL 27  , Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.5744147,6.23016667,4715232.5157,2247116.3989
